dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,academic_tier_rating
29Q272,59.0,436.0,427.0,424.0,2
29Q283,43.0,370.0,1100.0,363.0,3
29Q492,78.0,400.0,426.0,394.0,
29Q494,52.0,385.0,377.0,377.0,
29Q496,49.0,379.0,414.0,359.0,3
29Q498,62.0,393.0,381.0,377.0,
30Q301,98.0,410.0,440.0,405.0,4
30Q445,395.0,414.0,449.0,412.0,4
30Q450,392.0,403.0,420.0,395.0,3
30Q501,174.0,504.0,496.0,494.0,2
30Q502,148.0,407.0,434.0,398.0,4
30Q555,143.0,323.0,475.0,329.0,2
30Q575,135.0,487.0,492.0,491.0,4
30Q580,61.0,524.0,568.0,544.0,3
31R047,137.0,452.0,451.0,450.0,4
31R064,61.0,398.0,412.0,385.0,1
31R080,107.0,472.0,488.0,466.0,1
31R440,391.0,424.0,437.0,416.0,1
31R445,271.0,424.0,438.0,417.0,3
31R450,375.0,437.0,435.0,429.0,4
31R455,807.0,462.0,486.0,470.0,
31R460,535.0,455.0,474.0,459.0,2
31R470,10.0,466.0,455.0,414.0,3
31R600,94.0,416.0,422.0,397.0,3
31R605,227.0,635.0,682.0,636.0,2
31R607,10.0,405.0,375.0,370.0,1
32K403,50.0,380.0,366.0,352.0,
32K545,88.0,384.0,409.0,361.0,3
32K549,75.0,348.0,353.0,334.0,3
32K552,67.0,342.0,364.0,354.0,3
32K554,39.0,428.0,465.0,422.0,2
32K556,23.0,347.0,358.0,350.0,2
32K564,24.0,359.0,317.0,358.0,4
75Q811,32.0,429.0,444.0,433.0,1
79Q950,8.0,496.0,400.0,426.0,2
79X490,9.0,367.0,370.0,360.0,
